school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;17;U;LE3;A;2;3;teacher;services;course;father;1;2;0;yes;yes;no;yes;no;yes;yes;yes;4;3;4;2;3;4;2;16;17;18
GP;F;17;U;LE3;T;2;3;teacher;services;reputation;father;1;3;0;yes;yes;no;yes;no;yes;yes;no;4;3;2;2;2;4;2;14;16;17
GP;F;17;U;GT3;T;2;3;teacher;services;reputation;mother;2;3;1;yes;yes;no;yes;no;yes;yes;yes;4;3;2;2;3;4;6;18;19;19
GP;F;17;U;LE3;A;2;3;teacher;services;reputation;father;2;3;0;yes;yes;yes;yes;no;yes;yes;yes;5;3;3;1;3;4;2;14;16;18
GP;F;17;U;LE3;T;2;3;teacher;services;reputation;father;2;2;0;yes;yes;no;yes;no;yes;yes;no;4;2;3;2;3;5;2;14;16;17
GP;F;17;U;LE3;T;2;3;services;teacher;reputation;mother;2;3;0;yes;yes;no;yes;no;yes;yes;no;4;3;4;2;2;4;2;14;15;16
GP;F;17;U;LE3;T;3;3;teacher;services;reputation;mother;2;2;1;yes;yes;no;yes;no;yes;yes;no;4;3;4;2;2;5;4;12;13;11
GP;F;17;U;LE3;T;2;3;services;teacher;reputation;father;1;3;0;yes;yes;no;yes;no;yes;yes;no;4;3;3;2;2;3;4;16;17;18
GP;F;17;U;LE3;T;3;3;teacher;services;reputation;mother;2;4;0;yes;yes;no;yes;no;yes;yes;no;4;3;3;2;2;4;2;16;17;18
GP;F;17;U;LE3;T;3;2;services;at_home;home;father;2;2;0;yes;yes;no;yes;no;yes;yes;no;4;4;4;2;3;4;2;12;14;16
GP;F;17;U;GT3;T;2;3;teacher;services;course;father;1;2;0;yes;yes;yes;yes;no;yes;yes;yes;4;3;4;2;3;4;2;16;17;18
