模型,设置,任务,均值,标准差
NV (分类),Setup A,classification,0.8968,0.0369
NV (回归),Setup A,regression,1.2811,0.3208
DT (分类),Setup A,classification,0.9009,0.0333
DT (回归),Setup A,regression,1.8123,0.4060
RF (分类),Setup A,classification,0.9274,0.0293
RF (回归),Setup A,regression,1.2812,0.3196
NV (分类),Setup C,classification,0.8459,0.0433
NV (回归),Setup C,regression,3.2057,0.4242
DT (分类),Setup C,classification,0.8072,0.0480
DT (回归),Setup C,regression,3.8023,0.4904
RF (分类),Setup C,classification,0.8499,0.0441
RF (回归),Setup C,regression,2.7096,0.4062
